iter	Passed	Remaining
0	167	33394
1	327	32380
2	476	31301
3	623	30544
4	687	26808
5	749	24235
6	813	22437
7	965	23167
8	1136	24118
9	1296	24639
10	1450	24921
11	1606	25168
12	1764	25379
13	1925	25585
14	2089	25767
15	2253	25916
16	2416	26012
17	2578	26074
18	2743	26132
19	2902	26121
20	3099	26417
21	3279	26530
22	3441	26482
23	3585	26292
24	3729	26105
25	3871	25907
26	4026	25797
27	4114	25273
28	4255	25095
29	4401	24939
30	4544	24777
31	4691	24629
32	4832	24457
33	4986	24345
34	5137	24220
35	5280	24056
36	5420	23878
37	5561	23710
38	5716	23597
39	5859	23436
40	6017	23334
41	6167	23200
42	6307	23029
43	6451	22871
44	6603	22745
45	6764	22646
46	6919	22525
47	7089	22450
48	7245	22329
49	7400	22200
50	7549	22057
51	7697	21909
52	7842	21752
53	7999	21629
54	8157	21506
55	8340	21448
56	8499	21323
57	8662	21207
58	8825	21092
59	8988	20972
60	9148	20847
61	9323	20753
62	9480	20616
63	9633	20470
64	9786	20325
65	9974	20251
66	10137	20123
67	10289	19972
68	10439	19820
69	10589	19665
70	10741	19515
71	10892	19363
72	11060	19241
73	11204	19077
74	11350	18917
75	11517	18791
76	11675	18650
77	11822	18490
78	11983	18354
79	12139	18208
80	12289	18054
81	12435	17895
82	12579	17732
83	12723	17570
84	12868	17410
85	13028	17270
86	13172	17109
87	13316	16948
88	13483	16815
89	13640	16672
90	13788	16516
91	13935	16359
92	14084	16205
93	14231	16048
94	14374	15887
95	14517	15726
96	14665	15572
97	14808	15413
98	14963	15265
99	15108	15108
100	15248	14946
101	15394	14790
102	15535	14630
103	15682	14476
104	15838	14329
105	16012	14199
106	16178	14061
107	16321	13903
108	16463	13744
109	16601	13583
110	16743	13424
111	16885	13267
112	17046	13124
113	17202	12977
114	17358	12830
115	17513	12681
116	17668	12533
117	17821	12384
118	17988	12243
119	18142	12095
120	18297	11946
121	18455	11799
122	18617	11654
123	18781	11511
124	18937	11362
125	19102	11218
126	19247	11063
127	19405	10915
128	19558	10764
129	19709	10612
130	19868	10465
131	20024	10315
132	20171	10161
133	20311	10004
134	20452	9847
135	20595	9692
136	20741	9538
137	20889	9385
138	21048	9237
139	21205	9087
140	21359	8937
141	21510	8786
142	21669	8637
143	21832	8490
144	22004	8346
145	22156	8194
146	22303	8041
147	22449	7887
148	22607	7738
149	22754	7584
150	22902	7432
151	23063	7283
152	23207	7129
153	23346	6973
154	23493	6820
155	23634	6666
156	23800	6518
157	23960	6369
158	24176	6234
159	24317	6079
160	24483	5930
161	24625	5776
162	24766	5621
163	24911	5468
164	25064	5316
165	25209	5163
166	25349	5009
167	25491	4855
168	25630	4701
169	25781	4549
170	25930	4397
171	26080	4245
172	26223	4092
173	26368	3940
174	26510	3787
175	26652	3634
176	26803	3482
177	26965	3332
178	27123	3182
179	27276	3030
180	27427	2879
181	27575	2727
182	27718	2574
183	27869	2423
184	28024	2272
185	28172	2120
186	28325	1969
187	28478	1817
188	28628	1666
189	28777	1514
190	28944	1363
191	29125	1213
192	29279	1061
193	29423	909
194	29566	758
195	29707	606
196	29851	454
197	30004	303
198	30150	151
199	30299	0
